FID;Waterbody Name;area_ha;setname;wbrscode;Water body Code;District;state;Basin Code;Sub Basin
850482;Ghumarapadar;939.53243792;Gullu;R00225;Reservoir;Mahasamund;Chhattisgarh;Mahanadi;Mahanadi Middle
849138;Ghunghutta;1175.26504126;Sohga;R06054;Reservoir;Surguja;Chhattisgarh;Ganga;Sone
846449;Gid;24.180158;Warda;R03760;Reservoir;Washim;Maharashtra;Godavari;Wardha
846698;Gidda Cheru;6.99898875;Yellareddipet;R03378;Reservoir;Nirmal;Telangana;Godavari;Pranhita and others
849620;Girbi;24.96730586;Harrai;R06719;Reservoir;Anuppur;Madhya Pradesh;Ganga;Sone
849708;Girgithi Tal;187.75096989;Shankarpur;R07586;Reservoir;Balrampur;Uttar Pradesh;Ganga;Ghaghara
846123;Girija;509.24058767;Deolana Kh;R02740;Reservoir;Aurangabad;Maharashtra;Godavari;Godavari Middle
847335;Girinanda;36.19257267;Giri;R00156;Reservoir;Pali;Rajasthan;West flowing rivers of Kutch and Saurashtra including Luni;Luni Upper
481743;Giri Weir;3.85155661;Mahrar (155);R06077;Reservoir;Sirmaur;Himachal Pradesh;Ganga;Yamuna Upper
847510;Girna;4474.77924377;Nimgulekupa;R00924;Reservoir;Nashik;Maharashtra;Tapi;Tapi Middle
846287;Giroli;62.44416305;Giroli;R01177;Reservoir;Washim;Maharashtra;Godavari;Wardha
847276;Giroliya;143.36587595;Jaitpur;R00161;Reservoir;Pali;Rajasthan;West flowing rivers of Kutch and Saurashtra including Luni;Luni Upper
845877;Girsawadi;11.15623542;Girsawali;R06828;Reservoir;Aurangabad;Maharashtra;Godavari;Godavari Middle
847327;Girwar/ Giriwar;68.66123406;Block No 3;R00164;Reservoir;Sirohi;Rajasthan;West flowing rivers of Kutch and Saurashtra including Luni;Saraswati
850588;Girzani;45.47629546;Girzani;R03761;Reservoir;Solapur;Maharashtra;Krishna;Bhima Upper
849658;Glenmorgan;32.21110861;Sholur Tp;R07522;Reservoir;The Nilgiris;Tamil Nadu;Cauvery;Cauvery Middle
849181;Glenmorgan Reservoir;48.34954986;Sholur Tp;R00708;Reservoir;The Nilgiris;Tamil Nadu;Cauvery;Cauvery Middle
849945;Gobari Reservoir;6.30194243;Ani;R00226;Reservoir;Korea;Chhattisgarh;Mahanadi;Mahanadi Middle
