osmid,day,exists_true_image,total_pixel_count,water_pixels,cloud_pixels,water_with_no_clouds_pixels,chl_very_low_pixels,chl_low_pixels,chl_moderate_pixels,chl_high_pixels,chl_very_high_pixels,chl_very_low_area,chl_low_area,chl_moderate_area,chl_high_area,chl_very_high_area,is_valid,total_pixel_area,mci,mci_2
625348583,2024-07-23,True,776800,784696.0,784696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
625348583,2024-09-01,True,776800,779044.0,777155.0,7541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
629166419,2024-01-03,True,601868,419576.0,0.0,419576.0,9501.0,197953.0,288.0,0.0,0.0,237525.0,4948825.0,7200.0,0.0,0.0,True,,1015677.5,101639.75
629166419,2024-02-12,True,601868,388215.0,276142.0,261783.0,0.0,1472.0,3088.0,472.0,16.0,0.0,36800.0,77200.0,11800.0,400.0,False,,35440.0,4832.0
629166419,2024-03-23,True,601868,381820.0,0.0,381820.0,17083.0,89462.0,68.0,0.0,0.0,427075.0,2236550.0,1700.0,0.0,0.0,True,,490527.5,49069.75
629166419,2024-05-02,True,601868,217192.0,28.0,217192.0,952.0,712.0,68.0,12.0,4.0,23800.0,17800.0,1700.0,300.0,100.0,True,,6620.0,702.0
629166419,2024-06-11,True,601868,111936.0,0.0,111936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
629166419,2024-07-21,True,601868,401353.0,573989.0,33635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
629166419,2024-08-30,True,601868,164811.0,607636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
629799672,2024-01-05,True,94534,88330.0,0.0,88330.0,5213.0,1714.0,0.0,0.0,0.0,130325.0,42850.0,0.0,0.0,0.0,True,,21602.5,2160.25
629799672,2024-02-14,True,94534,2088.0,96591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
629799672,2024-03-25,True,94534,67809.0,0.0,67809.0,48.0,217.0,0.0,0.0,0.0,1200.0,5425.0,0.0,0.0,0.0,True,,1205.0,120.5
629799672,2024-05-04,True,94534,49970.0,30049.0,41291.0,516.0,27214.0,390.0,36.0,0.0,12900.0,680350.0,9750.0,900.0,0.0,False,,140645.0,14198.0
629799672,2024-06-13,False,94534,,,,,,,,,,,,,,False,2363350.0,,
629799672,2024-07-23,True,94534,0.0,96591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
629799672,2024-09-01,False,94534,,,,,,,,,,,,,,False,2363350.0,,
629799674,2024-01-05,True,52100,43070.0,0.0,43070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
629799674,2024-02-14,True,52100,0.0,52837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
629799674,2024-03-25,True,52100,45184.0,0.0,45184.0,0.0,1219.0,2855.0,0.0,0.0,0.0,30475.0,71375.0,0.0,0.0,True,,27507.5,3464.5
629799674,2024-05-04,True,52100,43900.0,52837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
629799674,2024-06-13,True,52100,52837.0,52837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
629799674,2024-07-23,True,52100,0.0,52837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
629799674,2024-09-01,False,52100,,,,,,,,,,,,,,False,1302500.0,,
631796072,2024-01-02,True,41570,9738.0,42065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
631796072,2024-02-11,True,41570,3899.0,0.0,3899.0,0.0,40.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,True,,200.0,20.0
631796072,2024-03-22,True,41570,1550.0,0.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
631796072,2024-05-01,True,41570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
631796072,2024-06-10,True,41570,0.0,42065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
631796072,2024-07-20,True,41570,9609.0,42065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
631796072,2024-08-29,False,41570,,,,,,,,,,,,,,False,1039250.0,,
