,Unnamed: 0,osmid,name,area,distance,water,university,centroid_long,centroid_lat,pixel_size,pixel_count,total_pixel_area
119,119,31252968,,4574526.619691039,26082.198883117715,reservoir,Anna University,80.00106184666015,13.060177040010116,5,182536,4563400
120,120,34107335,Sandynulla Lake,2186720.0490067,56061.24110661316,lake,Avinashilingam Institute For Home Science & Higher Education For Women,76.65157845142639,11.429832622385542,5,87202,2180050
121,121,34107338,Siruvani Reservoir,1762478.9201554714,32821.214880973755,reservoir,Amrita Vishwa Vidyapeetham,76.64736694076315,10.968130076039165,5,70762,1769050
122,122,34107822,,1547751.8317695805,70586.68628645324,lake,Azim Premji University,78.23709794979885,12.55097641240968,5,61649,1541225
123,123,34107825,,2321308.4403911014,91587.33397336231,reservoir,Alliance University,78.31552051201395,12.313373980122249,5,92759,2318975
124,124,34108030,Marakkanam Lake,23105281.117854007,66311.407217614,lake,Academy Of Maritime Education And Training,79.95630077761302,12.229698197801932,5,923189,23079725
125,125,34108724,,1206012.3922919482,49026.56076270981,reservoir,Academy Of Maritime Education And Training,79.78632508834674,12.8312597777373,5,48088,1202200
126,126,34108726,Nathapettai Yeri,955335.7886982613,54165.93794298354,lake,Academy Of Maritime Education And Training,79.7382318535587,12.82944263272511,5,38232,955800
127,127,34108765,SriPerumpudur lake,2759917.835820888,33106.57099101013,reservoir,Anna University,79.93432863597239,12.9672851802462,5,110996,2774900
128,128,34108767,,963381.0439971077,31404.861934512497,reservoir,Anna University,79.9682103460592,12.90378984011975,5,38725,968125
129,129,41662641,,874971.0916763776,45204.59177337802,pond,Azim Premji University,77.5271936342932,13.236082711873143,5,34349,858725
130,130,41662659,Hesaraghatta Lake,5381313.69212106,39427.66989226069,reservoir,Azim Premji University,77.49194990815423,13.164105368537838,5,212882,5322050
131,131,41667624,Bettakote Lake,1488655.7516252836,40702.93563636582,lake,Azim Premji University,77.72544425768218,13.212973643350509,5,60319,1507975
132,132,41667648,Nagadasanahalli Lake,909196.7145467392,35896.14125711154,lake,Azim Premji University,77.57178028299572,13.161767864638277,5,36046,901150
133,133,41667728,Hosakote lake,7642900.298858155,28608.219188621155,lake,Azim Premji University,77.76662279551329,13.088231687218816,5,298650,7466250
134,134,41853696,Dhimbhe Dam,15585118.372033663,64770.140805089846,reservoir,Amity University,73.71308584440006,19.116796375802465,10,153048,15304800
135,135,41853747,Vadaj Reservoir,4814750.658326497,68804.12642476657,reservoir,Ajeenkya D Y Patil University,73.84171517689221,19.166093500937748,5,192263,4806575
136,136,44394968,Karang Tuwi,3186248.901889776,68158.13078259608,lake,Arunachal University of Studies,96.6982885190624,28.516154599755108,5,128930,3223250
137,137,44717016,Shahneher,3380605.299615059,24869.04511893256,reservoir,Arni University,75.91328809507982,31.958075439712463,5,137453,3436325
138,138,47572610,,1005764.824780723,15977.600136997598,reservoir,Anna University,80.15016557450556,12.893807727403706,5,40332,1008300
139,139,51766199,,1186709.2849763213,1853.5560978476544,lake,Aliah University,88.42821245737726,22.564822964219776,5,47486,1187150
140,140,51766281,,962693.0213595378,4436.279523587767,lake,Aliah University,88.43541028081728,22.54236182621963,5,38801,970025
141,141,51815976,Aliyar Reservoir,6262875.171677647,40591.24508590722,reservoir,Amrita Vishwa Vidyapeetham,76.97452531973187,10.472833261016447,5,252140,6303500
142,142,51815979,,3415283.6755738007,47944.74798019908,reservoir,Amrita Vishwa Vidyapeetham,77.15944135985016,10.475004340021846,5,136282,3407050
143,143,51815983,,3712194.323839395,81018.85174010828,reservoir,Amrita Vishwa Vidyapeetham,77.48794185597468,10.370721542820425,5,149045,3726125
144,144,51816759,Mangalam Dam,2907532.6295858645,55149.64561354818,reservoir,Amrita Vishwa Vidyapeetham,76.53711958601873,10.505935773545104,5,116090,2902250
145,145,51829930,,1029365.4007346446,45501.21906240073,reservoir,Alliance University,77.92213742702272,12.493367413357143,5,40886,1022150
146,146,52014012,Fox Sagar,1256380.5822268636,22634.55591902039,pond,Acharya Ng Ranga Agricultural University,78.46944319748275,17.526367693688865,5,50185,1254625
147,147,53555667,,1283254.4299908192,52510.225366178434,lake,Azim Premji University,77.71958541951842,13.321469030873258,5,51161,1279025
148,148,57047323,,1439975.8602746795,56443.24440223834,pond,Azim Premji University,77.99537970725314,13.2430070479889,5,57189,1429725
149,149,58680339,Tawa Reservoir,37970866.62692234,73757.68770684036,reservoir,Aisect University,78.09909862125663,22.565311432334163,10,361487,36148700
150,150,58942852,,4609344.15701816,86749.61648976714,reservoir,Awadesh Pratap Singh University,80.78675613142607,25.167338552313023,5,184385,4609625
151,151,58943275,Kodar Reservoir,10626033.484413425,36340.87316585484,reservoir,Amity University,82.21280827985775,21.185382777581065,5,429496,10737400
152,152,59683635,Orathupalayam Reservoir,3921126.551311555,63146.710729011946,reservoir,Avinashilingam Institute For Home Science & Higher Education For Women,77.52604287698924,11.106923019790104,5,159199,3979975
153,153,59683639,,926078.749329472,77446.53973511873,reservoir,Avinashilingam Institute For Home Science & Higher Education For Women,77.51472695201313,11.450451056109456,5,37195,929875
154,154,59683890,,3016787.162870543,77153.49699246408,reservoir,Annamalai University,79.19127813829024,10.987303020204823,5,121920,3048000
155,155,82611270,Veeranam Lake,23495507.576351576,25547.307840117093,lake,Annamalai University,79.53285609302863,11.331522070803818,10,238263,23826300
156,156,84087731,Koovam Eri,4030133.228020316,45575.291255862125,reservoir,Anna University,79.8160646232811,13.01081770751993,5,161735,4043375
157,157,84106295,,1450959.8650148832,8390.262424967455,lake,Anna University,80.22540257947057,12.935892151662204,5,58078,1451950
158,158,92001285,Meghadri Reservoir,7325989.491739335,16276.3880411499,reservoir,Andhra University,83.18146201064765,17.777339439651524,5,291566,7289150
159,159,97868797,Mavatturu Kere,3462624.457800563,73884.9839442076,reservoir,Azim Premji University,77.3370077586298,13.435957327925658,5,137499,3437475
160,160,102302994,,830617.1453785285,25566.14331206049,reservoir,Academy Of Maritime Education And Training,80.02617694641522,12.875214329741508,5,33289,832225
161,161,102303002,ADHANOOR LAKE,1136395.9060835517,23078.25548460608,reservoir,Academy Of Maritime Education And Training,80.04727118558637,12.86615647176126,5,45287,1132175
162,162,112938102,Pariag Reservoir,4504308.505719122,37755.66281682514,reservoir,Anand Agricultural University,72.61641802595832,22.551127340258954,5,181673,4541825
163,163,113676407,Chandsen Dam,1101982.3625752889,48335.43381140012,reservoir,Amity University,75.45155780648311,26.342395088083155,5,44112,1102800
164,164,114510110,Maroda-2 Reservoir,6791879.10643768,26751.532604411765,reservoir,Ayush And Health Science University,81.37807605624256,21.155708074049155,5,271240,6781000
165,165,114510158,Maroda-1 Reservoir,2065761.5082367647,28248.051355176616,reservoir,Ayush And Health Science University,81.36475816957453,21.17236050254169,5,82711,2067775
166,166,115702044,Ibrahimpatnam Cheruvu,1633808.5773295534,29471.05663367941,lake,Acharya Ng Ranga Agricultural University,78.62775492664602,17.193322337543673,5,64920,1623000
167,167,115707377,Suravaram Lake,802174.0620226574,66565.71778741332,lake,Acharya Nagarjuna University,80.56693537126915,17.05850881473033,5,32050,801250
168,168,115707378,Gonelavagu Reservoir,1933167.768194782,76366.6081792572,reservoir,Acharya Nagarjuna University,80.96131127394489,17.020159368254713,5,77349,1933725
169,169,115707397,Tammileru Reservoir,5509377.073974662,73558.04354897056,reservoir,Acharya Nagarjuna University,80.92287028296843,17.01462856327964,5,220516,5512900
170,170,115769453,Pedda Vagu Reservoir,2673053.0955180083,85589.54291779977,reservoir,Adikavi Nannaya University,81.16327247893501,17.41789282259894,5,106988,2674700
171,171,115772000,Ameenpur Lake,1267115.054860201,21754.34900400789,lake,Acharya Ng Ranga Agricultural University,78.33316159661338,17.52311765061622,5,49958,1248950
172,172,115877852,Konam Reservoir,1989165.6450262791,57399.18207685602,reservoir,Andhra University,82.85275856274833,17.97711475591832,5,79301,1982525
173,173,115877854,Andra Reservoir,3372675.884888201,70083.16554562845,reservoir,Andhra University,83.18705107052796,18.3384628982169,5,136197,3404925
174,174,115877871,Raiwada Reservoir,9204369.35192843,49601.44144530986,reservoir,Andhra University,82.97849347367412,18.022817435948348,5,369323,9233075
175,175,116300100,Bhavanasi,1857195.7991133244,90794.49107199236,pond,Acharya Nagarjuna University,79.96179921010477,15.862153459906295,5,74323,1858075
176,176,117554807,,998216.0577992405,66814.25646317312,lake,Anna University,79.7017825787197,13.311904478554894,5,40197,1004925
