name,university,Uni Classification,State,Pin Code,Year of Formation,longitude,latitude
Dr Babasaheb Ambedkar Technological University,dr babasaheb ambedkar technological university,State,Maharashtra,402103,1992,73.3058,18.1472
Dr Bhimrao Ambedkar Law University,dr bhimrao ambedkar law university,State,Rajasthan,302018,2012,75.7889,26.8553
Dr BR Ambedkar Open University,dr br ambedkar open university,State,Andhra Pradesh,500033,2008,78.4147,17.4196
Dr BR Ambedkar Open University,dr br ambedkar open university,State,Telangana,500033,1982,78.4087,17.4196
Dr BR Ambedkar University,dr br ambedkar university,State,Uttar Pradesh,282004,1927,78.0255,27.2148
Dr CV Raman University,dr cv raman university,Private,Chhattisgarh,495113,2006,81.7572,22.4213
Dr DY Patil Vidyapeeth,dr dy patil vidyapeeth,Deemed,Maharashtra,411018,2003,73.8157,18.624
Dr Harisingh Gour Vishwavidyalaya,dr harisingh gour vishwavidyalaya,Central,Madhya Pradesh,470003,1946,78.7573,23.7803
Dr KN Modi University,dr kn modi university,Private,Rajasthan,304021,2010,75.9036,26.2955
Dr NTR University Of Health Sciences,dr ntr university of health sciences,State,Andhra Pradesh,520008,1986,80.6591,16.5071
Dr Punjabrao Deshmukh Krishi Vidyapeeth,dr punjabrao deshmukh krishi vidyapeeth,State,Maharashtra,444104,1969,76.8344,20.8014
Dr Ram Manohar Lohia Awadh University,dr ram manohar lohia awadh university,State,Uttar Pradesh,224001,1975,82.1399,26.8028
Dr Ram Manohar Lohiya National Law University,dr ram manohar lohiya national law university,State,Uttar Pradesh,226012,2005,80.9097,26.7857
Dr Sarvepalli Radhakrishnan Rajasthan Ayurved University,dr sarvepalli radhakrishnan rajasthan ayurved university,State,Rajasthan,342037,2004,73.1883,26.6523
Dr YSParmar University of Horticulture & Forestry,dr ysparmar university of horticulture & forestry,State,Himachal Pradesh,173230,1986,76.86,31.3701
Dr YSR Horticultural University,dr ysr horticultural university,State,Andhra Pradesh,534101,2011,81.5124,16.8496
Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,dr balasaheb sawant konkan krishi vidyapeeth,State,Maharashtra,415712,1972,73.2078,17.7945
Dravidian University,dravidian university,State,Andhra Pradesh,517425,1997,78.3712,12.7558
DY Patil Educational Society,dy patil educational society ,Deemed,Maharashtra,416006,2005,74.2505,16.7438
Eastern Institute For Integrated Learning In Management,eastern institute for integrated learning in management,Private,Sikkim,737121,2006,88.2252,27.1704
Eternal University,eternal university,Private,Himachal Pradesh,173101,2009,77.375,30.8402
Fakir Mohan University,fakir mohan university,State,Odisha,756019,1999,86.8378,21.5074
Flame University,flame university,Private,Maharashtra,411042,2015,73.8692,18.5043
Forest Research Institute,forest research institute,Deemed,Uttarakhand,248006,1991,77.9921,30.3508
Galgotias University,galgotias university,Private,Uttar Pradesh,201306,2011,77.4829,28.4863
Gandhi Institute Of Technology And Management (Gitam),gandhi institute of technology and management (gitam),Deemed,Andhra Pradesh,530045,2007,83.3658,17.7748
Gandhiigram Rural Institute,gandhiigram rural institute,Deemed,Tamil Nadu,624302,1976,77.9119,10.2009
Ganpat University,ganpat university,Private,Gujarat,382711,2005,72.4572,23.536
Gauhati University,gauhati university,State,Assam,781014,1948,91.6636,26.1571
Gaur Banga University,gaur banga university,State,West Bengal,732101,2007,88.2316,25.1529
Gautam Buddha University,gautam buddha university,State,Uttar Pradesh,201308,2002,77.5009,28.4503
GB Pant University of Agriculture and Technology,gb pant university of agriculture and technology,State,Uttarakhand,263145,1960,79.8856,28.8686
GD Goenka University,gd goenka university,Private,Haryana,122103,2013,77.1147,28.2243
Geetanjali University,geetanjali university,Private,Rajasthan,313002,2011,73.7069,24.5601
GLA University,gla university,Private,Uttar Pradesh,281406,2010,77.6173,27.648
GLS University,gls university,Private,Gujarat,380006,2015,72.5521,23.0258
GNA University,gna university,Private,Punjab,144401,2014,75.8026,31.2448
Goa University,goa university,State,Goa,403206,1985,73.8817,15.4598
Gokhale Institute Of Politics & Economics,gokhale institute of politics & economics,Deemed,Maharashtra,411004,1993,73.8339,18.5106
Gondwana University,gondwana university,State,Maharashtra,422605,1994,74.2728,19.6208
Graphic Era Parvatiya Vishwavidyalaya,graphic era parvatiya vishwavidyalaya,Private,Uttarakhand,248002,2011,77.9978,30.2409
Graphic Era University,graphic era university,Deemed,Uttarakhand,248002,2008,78.0038,30.2409
Gujarat Agricultural University,gujarat agricultural university,State,Gujarat,385506,1972,71.8684,24.0424
Gujarat Ayurveda University,gujarat ayurveda university,State,Gujarat,361008,1968,70.066,22.4829
Gujarat Forensic Sciences University,gujarat forensic sciences university,State,Gujarat,382007,2008,72.6279,23.1709
Gujarat National Law University,gujarat national law university,State,Gujarat,382007,2003,72.6219,23.1649
Gujarat Technological University,gujarat technological university,State,Gujarat,380015,2007,72.4994,22.9973
Gujarat University,gujarat university,State,Gujarat,380009,1950,72.5482,23.037
Gujarat Vidyapith,gujarat vidyapith,Deemed,Gujarat,380014,1963,72.5681,23.0436
Gulbarga University,gulbarga university,State,Karnataka,585106,1980,76.8744,17.3132
Guru Angad Dev Veterinary & Animal Sciences University,guru angad dev veterinary & animal sciences university,State,Punjab,141004,2005,75.7909,30.9042
Guru Ghasidas Vishwavidyalaya,guru ghasidas vishwavidyalaya,Central,Chhattisgarh,495009,1983,82.1578,22.1796
Guru Gobind Singh Indraprastha University,guru gobind singh indraprastha university,State,Delhi,110006,1998,77.2302,28.6572
Guru Jambeshwar University of Science and Technology,guru jambeshwar university of science and technology,State,Haryana,125001,1995,75.6292,29.0916
Guru Kashi University,guru kashi university,Private,Punjab,151302,2011,75.1194,29.9427
Guru Nanak Dev University,guru nanak dev university,State,Punjab,143005,1969,74.8065,31.6353
Guru Ravidas Ayurved University,guru ravidas ayurved university,State,Punjab,146001,2010,75.9025,31.534
Gurukul Kangri Vishwavidyalaya,gurukul kangri vishwavidyalaya,Deemed,Uttarakhand,249404,1962,78.0906,29.8372
Haridev Joshi University of Journalism & Mass Communication,haridev joshi university of journalism & mass communication,State,Rajasthan,302004,2012,75.8289,26.8972
Hemchandracharya North Gujarat University,hemchandracharya north gujarat university,State,Gujarat,384265,1986,72.156,23.8921
Hemwati Nandan Bahuguna Garhwal University,hemwati nandan bahuguna garhwal university,Central,Uttarakhand,246174,1973,78.8142,30.212
Hemwati Nandan Bahuguna Medical Education University,hemwati nandan bahuguna medical education university,State,Uttarakhand,248001,2014,78.0357,30.3442
Hidayatullah National Law University,hidayatullah national law university,State,Chhattisgarh,492001,2003,81.6296,21.148
Hiht University,hiht university,Deemed,Uttarakhand,248140,2007,78.0886,30.2074
Himachal Pradesh Technical University,himachal pradesh technical university,State,Himachal Pradesh,177001,2010,76.5129,31.679
Himachal Pradesh University,himachal pradesh university,State,Himachal Pradesh,171005,1970,77.1407,31.102
Himalayan University,himalayan university,Private,Arunachal Pradesh,791110,2013,93.7528,27.1056
Himgiri Zee University,himgiri zee university,Private,Uttarakhand,248197,2003,77.869,30.4143
Hindustan Institute Of Technology And Science (Hits),hindustan institute of technology and science (hits),Deemed,Tamil Nadu,603103,2008,80.1929,12.7598
Homi Bhabha National Institute,homi bhabha national institute,Deemed,Maharashtra,400094,2005,72.9302,19.0403
Homoeopathy University,homoeopathy university,Private,Rajasthan,302029,2010,75.6483,26.7791
Hyderabad University,hyderabad university,Central,Telangana,500046,1974,78.3198,17.3662
ICFAI Foundation For Higher Education,icfai foundation for higher education,Deemed,Telangana,501504,2008,78.2621,17.3026
ICFAI University,icfai university,Private,Chhattisgarh,560085,2011,81.6296,21.2513
ICFAI University,icfai university,Private,Rajasthan,302001,2011,76.8687,30.9013
ICFAI University,icfai university,Private,Himachal Pradesh,174103,2011,75.8114,26.9222
IEC (India Education Centre) University,iec (india education centre) university,Private,Himachal Pradesh,173205,2012,76.7679,30.9653
IFTM University,iftm university,Private,Uttar Pradesh,244102,2010,78.6291,28.7933
IIHMR University,iihmr university,Private,Rajasthan,302029,2014,75.6543,26.7791
IIS University,iis university,Deemed,Rajasthan,302020,2009,75.7585,26.8575
IMS Unison University,ims unison university,Private,Uttarakhand,248009,2013,78.0769,30.4093
Indian Agricultural Research Institute,indian agricultural research institute,Deemed,Delhi,110012,1958,77.1957,28.5494
Indian Institute Of Foreign Trade,indian institute of foreign trade,Deemed,Delhi,110016,2002,77.1573,28.6352
Indian Institute Of Information Technology,indian institute of information technology,Deemed,Uttar Pradesh,211012,2000,81.736,25.4546
Indian Institute Of Information Technology And Management,indian institute of information technology and management,Deemed,Madhya Pradesh,474001,2001,78.1443,26.1994
Indian Institute Of Science,indian institute of science,Deemed,Karnataka,560012,1958,77.5676,13.0196
Indian Institute Of Space Science And Technology,indian institute of space science and technology,Deemed,Kerala,695547,2008,76.7503,8.6959
Indian Institute Of Teacher Education,indian institute of teacher education,State,Gujarat,382016,2010,72.6356,23.2313
Indian Law Institute,indian law institute,Deemed,Delhi,110001,2004,77.2211,28.6236
Indian Maritime University,indian maritime university,Central,Tamil Nadu,600119,2008,80.2217,12.8662
Indian School Of Mines,indian school of mines,Deemed,Jharkhand,826004,1967,86.4388,23.8115
Indian Veterinary Research Institute,indian veterinary research institute,Deemed,Uttar Pradesh,243122,1983,79.5191,28.4441
Indira Gandhi Delhi Technical University for Women,indira gandhi delhi technical university for women,State,Delhi,110006,2013,77.2182,28.6572
Indira Gandhi Institute Of Development Research,indira gandhi institute of development research,Deemed,Maharashtra,400065,1995,72.8894,19.1529
Indira Gandhi Krishi Vishwavidyalaya,indira gandhi krishi vishwavidyalaya,State,Chhattisgarh,492006,1987,81.6932,21.2814
Indira Gandhi National Open University,indira gandhi national open university,Central,Delhi,110068,1985,77.2126,28.4548
Indira Gandhi University,indira gandhi university,State,Haryana,123401,2013,76.579,28.2371
Indira Kala Sangeet Vishwavidyalaya,indira kala sangeet vishwavidyalaya,State,Chhattisgarh,491881,1956,80.8897,21.3857
Indraprastha Institute Of Information Technology,indraprastha institute of information technology,State,Delhi,110020,2008,77.2754,28.5362
Indus International University,indus international university,Private,Himachal Pradesh,174301,2010,76.2742,31.3396
Indus University,indus university,Private,Gujarat,382115,2012,72.3676,23.0938
Institute Of Advanced Studies In Education,institute of advanced studies in education,Deemed,Rajasthan,331401,2002,74.5171,28.4483
Institute Of Chartered Financial Analysts Of India (Icfai),institute of chartered financial analysts of india (icfai),Private,Uttarakhand,248006,2003,77.9981,30.3508
Institute Of Chartered Financial Analysts Of India Agartala,institute of chartered financial analysts of india agartala,Private,Tripura,799001,2004,91.2813,23.8319
Institute Of Chemical Technology,institute of chemical technology,Deemed,Maharashtra,400019,1987,72.8534,19.0276
Institute Of Liver And Biliary Sciences,institute of liver and biliary sciences,Deemed,Delhi,110070,2009,77.1563,28.5252
Institute Of Trans-Disciplinary Health Sciences And Technology,institute of trans-disciplinary health sciences and technology,Private,Karnataka,560064,2013,77.5617,13.1435
Instituteof Armamrnt Technology,instituteof armamrnt technology,Deemed,Maharashtra,411025,1999,73.8139,18.4063
Integral University,integral university,Private,Uttar Pradesh,226026,2004,80.9819,26.9319
International Institute For Population Sciences,international institute for population sciences,Deemed,Maharashtra,400088,1985,72.9416,19.0517
"International Institute Of Information
Technology","international institute of information
technology",Deemed,Karnataka,560100,2005,78.3312,17.4419
"International Institute Of Information
Technology","international institute of information
technology",Deemed,Telangana,500032,2001,77.6698,12.8503
Invertis University,invertis university,Private,Uttar Pradesh,243123,2010,79.4868,28.3194
Islamic University of Science & Technology,islamic university of science & technology,State,Jammu & Kashmir,192122,2005,74.997,33.8977
ITM University,itm university,Private,Chhattisgarh,493661,2012,81.7956,21.0867
ITM University,itm university,Private,Madhya Pradesh,474001,2011,78.1383,26.1994
